Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Justicia;Centro;Apartment;Entire home/apt;3;1.0;0.0;2.0;58.0;;20.0;2;5;2;1125;8;38;68;68;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.25
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;32.0;;;1;10;1;1125;24;54;81;356;0;;;;;;;;flexible;
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;60.0;;;1;0;1;1125;0;0;0;0;3;100.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;0.12
Pueblo Nuevo;Ciudad Lineal;Other;Private room;1;1.0;1.0;1.0;12.0;;;1;0;1;30;0;27;57;57;1;;;;;;;;moderate;0.37
Colina;Ciudad Lineal;Dorm;Private room;1;1.0;1.0;1.0;40.0;;;1;0;5;30;30;60;90;365;0;;;;;;;;strict;
Almendrales;Usera;Apartment;Entire home/apt;3;1.0;1.0;1.0;79.0;;15.0;1;0;3;1125;22;52;79;166;4;80.0;9.0;7.0;9.0;10.0;8.0;8.0;moderate;0.97
Embajadores;Centro;Loft;Entire home/apt;2;1.0;1.0;1.0;45.0;150.0;19.0;1;0;2;1125;8;38;64;339;3;87.0;10.0;7.0;9.0;9.0;10.0;9.0;strict;2.65
Buenavista;Carabanchel;Apartment;Private room;1;1.0;1.0;1.0;30.0;;;1;0;2;1125;30;60;90;365;0;;;;;;;;flexible;
Universidad;Centro;House;Private room;2;1.0;1.0;1.0;26.0;;7.0;2;15;1;1125;5;17;28;295;93;87.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;4.49
Justicia;Centro;Bed & Breakfast;Private room;1;1.0;1.0;1.0;24.0;200.0;8.0;1;15;1;1125;15;40;66;341;14;89.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;0.65
Palacio;Centro;Apartment;Entire home/apt;6;1.0;2.0;4.0;88.0;;;2;10;1;1125;7;32;53;326;88;92.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;5.4
Puerta del Angel;Latina;Apartment;Private room;1;1.0;1.0;1.0;12.0;250.0;;1;4;4;365;30;60;90;365;21;83.0;8.0;8.0;9.0;9.0;8.0;9.0;strict;0.65
Trafalgar;Chamberí;Apartment;Entire home/apt;6;1.0;3.0;5.0;132.0;120.0;40.0;6;10;2;1125;1;4;34;309;5;85.0;9.0;7.0;10.0;10.0;10.0;8.0;strict;0.18
Bellas Vistas;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;29.0;;;1;13;1;1125;29;59;89;364;0;;;;;;;;flexible;
Embajadores;Centro;Apartment;Entire home/apt;1;1.0;0.0;1.0;35.0;100.0;20.0;1;0;3;200;0;0;5;186;39;92.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;1.82
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;80.0;150.0;40.0;2;10;3;1125;15;36;55;55;32;91.0;10.0;10.0;9.0;10.0;10.0;9.0;strict;1.31
Trafalgar;Chamberí;Apartment;Entire home/apt;6;3.0;3.0;4.0;190.0;;;1;0;3;6;5;5;5;41;0;;;;;;;;strict;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;60.0;;25.0;2;5;25;1125;0;22;52;327;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.5
San Cristobal;Villaverde;Apartment;Private room;2;1.0;1.0;1.0;23.0;;;1;0;2;1125;8;8;8;8;12;95.0;9.0;10.0;10.0;10.0;8.0;9.0;flexible;2.22
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;50.0;;20.0;1;0;4;1125;0;0;0;0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.13
