Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Pacífico;Retiro;House;Entire home/apt;4;1.0;1.0;2.0;59.0;190.0;20.0;2;20;2;1125;7;19;38;123;22;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;3.11
Casco Histórico de Vallecas;Villa de Vallecas;Apartment;Entire home/apt;2;1.0;1.0;1.0;29.0;600.0;30.0;1;0;10;60;1;1;1;1;1;100.0;10.0;10.0;10.0;10.0;6.0;10.0;flexible;1.0
Campamento;Latina;Apartment;Private room;3;1.0;1.0;2.0;15.0;;;1;15;1;31;30;60;90;180;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.86
Justicia;Centro;Apartment;Private room;2;1.0;1.0;1.0;30.0;;;1;10;1;1125;23;53;68;326;70;93.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;3.5
Berruguete;Tetuán;Apartment;Entire home/apt;3;1.0;1.0;1.0;60.0;300.0;;2;15;6;1125;11;41;71;346;7;97.0;10.0;8.0;10.0;10.0;9.0;9.0;moderate;0.23
Chopera;Arganzuela;House;Private room;1;1.0;1.0;1.0;19.0;;;1;20;1;1125;28;58;88;363;0;;;;;;;;flexible;
Cortes;Centro;Apartment;Private room;1;1.5;1.0;1.0;30.0;;20.0;1;0;28;200;0;0;6;281;2;100.0;10.0;9.0;9.0;10.0;9.0;10.0;flexible;0.06
Goya;Salamanca;House;Entire home/apt;3;1.0;2.0;3.0;69.0;150.0;20.0;2;12;1;1125;1;10;22;179;63;90.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;2.57
Deyá;;House;Entire home/apt;6;3.0;3.0;4.0;195.0;300.0;;1;0;1;1125;25;47;70;252;2;90.0;9.0;10.0;10.0;10.0;10.0;10.0;super_strict_60;0.24
Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;110.0;150.0;35.0;4;18;2;1125;2;11;26;255;61;88.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;2.85
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;30.0;;;1;0;1;7;14;44;74;74;4;90.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;1.56
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;66.0;;;1;0;1;1125;0;0;0;216;6;83.0;8.0;9.0;9.0;9.0;8.0;8.0;strict;3.16
Hellín;San Blas - Canillejas;House;Private room;2;1.0;1.0;1.0;20.0;;;1;10;1;365;9;39;69;344;8;94.0;10.0;10.0;10.0;9.0;8.0;10.0;strict;0.16
La Paz;Fuencarral - El Pardo;Apartment;Private room;2;2.0;1.0;5.0;22.0;;;2;10;2;7;9;12;12;12;24;95.0;9.0;10.0;10.0;9.0;9.0;9.0;flexible;5.41
Palacio;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;95.0;200.0;40.0;2;10;2;1125;0;10;19;116;14;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.02
San Isidro;Carabanchel;Apartment;Entire home/apt;4;1.0;2.0;3.0;80.0;;;1;10;1;1125;5;27;45;164;1;100.0;8.0;8.0;10.0;10.0;6.0;8.0;flexible;1.0
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;50.0;;30.0;1;0;2;1125;0;2;5;9;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.56
Palacio;Centro;Apartment;Entire home/apt;4;1.5;2.0;3.0;101.0;100.0;;2;20;1;90;3;5;14;73;62;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;5.36
Puerta del Angel;Latina;Condominium;Entire home/apt;5;1.0;2.0;2.0;99.0;150.0;;4;20;2;7;18;44;74;74;13;95.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;1.03
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;50.0;120.0;20.0;1;0;3;360;7;17;23;182;68;83.0;9.0;9.0;9.0;9.0;9.0;8.0;strict;3.65
Concepción;Ciudad Lineal;Bed & Breakfast;Private room;3;1.0;1.0;3.0;25.0;;10.0;1;11;2;10;0;0;0;0;6;87.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;0.17
Castellana;Salamanca;Apartment;Private room;1;1.5;1.0;1.0;29.0;100.0;;1;0;1;30;0;0;0;0;5;92.0;9.0;8.0;10.0;10.0;10.0;9.0;flexible;0.55
VIII Appia Antica;;Apartment;Private room;2;1.0;1.0;1.0;25.0;100.0;15.0;1;15;2;28;6;34;44;109;29;92.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate_new;1.49
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;54.0;100.0;30.0;2;0;3;1125;6;14;26;298;30;89.0;9.0;9.0;10.0;10.0;10.0;9.0;moderate;3.19
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;1.0;1.0;70.0;;;2;40;1;4;4;8;18;18;11;94.0;10.0;9.0;10.0;10.0;10.0;9.0;moderate;2.36
Kensington and Chelsea;;Apartment;Entire home/apt;1;1.0;1.0;1.0;50.0;100.0;30.0;1;20;5;49;3;16;16;169;2;90.0;10.0;10.0;9.0;9.0;9.0;10.0;strict;0.34
Nueva España;Chamartín;Apartment;Entire home/apt;4;1.0;1.0;2.0;60.0;150.0;30.0;1;0;2;1125;3;27;57;320;32;95.0;10.0;9.0;10.0;9.0;9.0;10.0;strict;3.0
Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;33.0;;;2;0;2;1125;7;22;37;311;106;85.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;5.55
Embajadores;Centro;Apartment;Private room;1;1.5;1.0;1.0;20.0;;;1;0;1;1125;0;0;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.11
Universidad;Centro;Apartment;Private room;3;1.0;1.0;2.0;35.0;;;2;20;4;14;9;31;31;31;70;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;5.68
Numancia;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;1.0;25.0;;;1;0;2;9;9;30;55;274;55;93.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;2.44
Aravaca;Moncloa - Aravaca;Apartment;Private room;2;1.0;1.0;1.0;35.0;100.0;10.0;1;0;1;14;7;31;31;274;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.71
Valdefuentes;Hortaleza;Apartment;Entire home/apt;3;2.0;2.0;2.0;81.0;100.0;;1;0;2;1125;16;46;76;351;26;92.0;10.0;9.0;10.0;10.0;9.0;9.0;strict;1.91
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;60.0;200.0;20.0;1;0;2;1125;7;20;45;320;29;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;4.63
Palma de Mallorca;;Apartment;Entire home/apt;4;1.0;2.0;3.0;75.0;100.0;45.0;2;0;2;1125;30;60;90;348;0;;;;;;;;strict;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;52.0;;20.0;2;8;2;1125;0;0;0;59;16;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;4.03
Cortes;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;70.0;100.0;30.0;1;0;1;1125;7;29;49;100;1;80.0;10.0;8.0;8.0;8.0;10.0;10.0;flexible;0.19
Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;4.0;130.0;150.0;35.0;1;0;6;186;7;37;67;245;35;99.0;10.0;10.0;9.0;10.0;10.0;10.0;strict;1.58
Cannaregio;Isole;Apartment;Entire home/apt;6;2.0;3.0;3.0;100.0;150.0;50.0;2;25;3;30;6;30;60;296;5;100.0;10.0;9.0;10.0;10.0;10.0;9.0;strict_new;0.12
Acacias;Arganzuela;Apartment;Private room;1;1.0;1.0;1.0;35.0;;;1;20;1;1125;0;0;0;7;0;;;;;;;;flexible;
Guindalera;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;21.0;;;1;18;1;1125;0;0;0;66;0;;;;;;;;strict;
El Goloso;Fuencarral - El Pardo;Apartment;Private room;2;1.0;1.0;2.0;35.0;;;1;25;1;1125;12;12;39;314;15;100.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;0.81
Justicia;Centro;Apartment;Entire home/apt;5;2.0;2.0;3.0;185.0;300.0;95.0;4;15;4;1125;0;0;0;0;10;96.0;10.0;9.0;10.0;10.0;10.0;9.0;strict;1.06
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;80.0;;35.0;1;0;1;180;8;18;31;196;112;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;7.16
Sol;Centro;Apartment;Entire home/apt;6;2.0;2.0;2.0;59.0;150.0;50.0;1;20;1;30;13;32;53;135;25;86.0;9.0;9.0;7.0;8.0;10.0;9.0;strict;1.22
Sol;Centro;Apartment;Private room;1;3.0;1.0;1.0;35.0;200.0;30.0;1;0;7;1125;0;5;35;310;0;;;;;;;;strict;
Imperial;Arganzuela;Apartment;Private room;2;1.5;1.0;1.0;45.0;;;1;0;3;31;27;57;87;87;0;;;;;;;;flexible;
Acacias;Arganzuela;Apartment;Entire home/apt;3;1.0;1.0;2.0;45.0;100.0;15.0;1;0;1;1125;0;0;0;43;0;;;;;;;;strict;
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;1.0;2.0;50.0;100.0;;1;0;1;1125;0;0;0;0;0;;;;;;;;moderate;
Embajadores;Centro;House;Entire home/apt;6;1.0;2.0;4.0;115.0;250.0;75.0;4;26;2;1125;9;11;13;223;27;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.46
Embajadores;Centro;Other;Private room;2;1.0;1.0;2.0;45.0;200.0;30.0;2;0;3;1125;2;17;38;185;38;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.63
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;69.0;;33.0;1;0;3;365;13;40;65;340;90;90.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;1.88
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;75.0;200.0;30.0;2;15;2;1125;5;18;41;314;165;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;3.68
Palacio;Centro;Apartment;Private room;4;2.0;2.0;2.0;65.0;100.0;25.0;2;35;1;1125;14;30;54;326;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.67
Trafalgar;Chamberí;Apartment;Entire home/apt;6;2.0;2.0;4.0;130.0;200.0;60.0;2;10;2;1125;10;40;70;345;1;80.0;8.0;10.0;8.0;8.0;8.0;6.0;strict;0.04
Ibiza;Retiro;Apartment;Private room;1;1.0;1.0;2.0;53.0;;;1;0;2;1125;7;37;67;342;0;;;;;;;;flexible;
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;77.0;154.0;20.0;1;0;7;1125;0;6;27;236;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.07
Palacio;Centro;Apartment;Entire home/apt;6;1.0;2.0;4.0;50.0;150.0;;1;10;2;1125;0;0;0;250;16;86.0;9.0;9.0;9.0;9.0;8.0;8.0;flexible;0.43
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;70.0;100.0;25.0;2;0;5;1125;10;39;61;301;46;87.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;1.42
Universidad;Centro;House;Private room;2;1.0;1.0;2.0;18.0;;8.0;1;8;1;1460;14;44;74;349;75;84.0;9.0;9.0;10.0;9.0;10.0;9.0;strict;1.16
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;65.0;;;2;5;4;365;0;1;21;111;14;84.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;0.63
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;70.0;;;1;0;2;1125;2;8;8;8;17;99.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;7.08
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;1.0;35.0;;;1;0;1;1125;0;0;0;0;14;90.0;9.0;9.0;9.0;10.0;10.0;10.0;strict;1.34
Puerta del Angel;Latina;Apartment;Entire home/apt;6;1.0;2.0;4.0;69.0;150.0;25.0;3;10;3;180;5;19;30;121;24;85.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;2.59
Almagro;Chamberí;Apartment;Private room;2;1.0;1.0;1.0;48.0;80.0;;2;0;2;31;4;33;63;338;66;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.09
Imperial;Arganzuela;Apartment;Private room;2;1.5;1.0;1.0;25.0;;25.0;1;15;1;1125;26;56;86;176;7;94.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;1.0
Cortes;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;55.0;;15.0;2;14;2;1125;7;12;23;291;122;93.0;9.0;9.0;10.0;10.0;10.0;9.0;moderate;4.01
Palos de Moguer;Arganzuela;Loft;Entire home/apt;2;1.0;0.0;1.0;42.0;;;1;0;2;1125;6;15;29;247;8;80.0;8.0;9.0;9.0;9.0;9.0;8.0;flexible;0.49
Comillas;Carabanchel;House;Private room;2;1.0;1.0;2.0;19.0;;;1;10;3;1125;25;55;85;360;0;;;;;;;;strict;
Sol;Centro;Apartment;Entire home/apt;8;2.0;2.0;4.0;170.0;96.0;45.0;4;15;2;1125;7;13;32;300;3;93.0;10.0;9.0;9.0;10.0;10.0;10.0;flexible;1.84
Vallehermoso;Chamberí;Apartment;Private room;2;1.0;1.0;2.0;37.0;;;1;8;1;1125;29;59;89;364;0;;;;;;;;strict;
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;2.0;2.0;34.0;100.0;21.0;2;10;1;7;2;2;6;6;5;90.0;10.0;8.0;9.0;9.0;9.0;9.0;strict;1.65
Universidad;Centro;Apartment;Entire home/apt;5;1.0;1.0;3.0;75.0;100.0;25.0;1;15;2;30;18;48;78;353;0;;;;;;;;strict;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;50.0;;20.0;2;8;3;90;4;10;16;291;47;89.0;9.0;10.0;9.0;10.0;8.0;9.0;moderate;1.65
Palacio;Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;72.0;;20.0;1;0;2;1125;4;13;24;234;25;95.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;3.46
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;50.0;100.0;18.0;2;12;2;365;2;10;10;108;37;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;5.19
Universidad;Centro;Apartment;Entire home/apt;5;2.0;2.0;4.0;110.0;200.0;95.0;3;20;3;30;11;17;25;261;122;96.0;10.0;10.0;10.0;10.0;9.0;9.0;strict;2.09
Universidad;Centro;Apartment;Private room;3;2.0;1.0;1.0;35.0;150.0;10.0;1;10;1;1125;29;59;89;364;0;;;;;;;;moderate;
Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;37.0;;;1;5;2;15;9;20;42;218;95;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.95
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;45.0;;15.0;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;
Cortes;Centro;Other;Entire home/apt;6;2.0;2.0;3.0;135.0;200.0;35.0;4;20;1;1125;7;19;27;295;20;96.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;3.55
Goya;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;2.0;75.0;100.0;30.0;2;15;3;32;21;51;81;356;25;78.0;9.0;9.0;9.0;9.0;10.0;8.0;strict;1.14
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;55.0;150.0;30.0;2;12;2;1125;10;35;58;318;65;90.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;3.33
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.5;1.0;1.0;115.0;;100.0;2;0;7;180;11;14;41;41;4;85.0;8.0;8.0;10.0;9.0;10.0;7.0;strict;0.13
Nueva España;Chamartín;Apartment;Entire home/apt;4;2.0;2.0;3.0;60.0;;;1;0;1;15;0;0;0;97;23;93.0;10.0;8.0;10.0;10.0;9.0;9.0;flexible;1.92
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;60.0;100.0;;1;0;1;4;0;0;0;0;0;;;;;;;;flexible;
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;40.0;;30.0;1;0;2;10;12;26;52;170;7;94.0;10.0;9.0;10.0;10.0;10.0;9.0;strict;2.16
Guindalera;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;100.0;;;1;0;1;1;0;0;0;0;0;;;;;;;;flexible;
Opañel;Carabanchel;Apartment;Entire home/apt;7;1.0;3.0;6.0;37.0;;25.0;2;12;2;30;3;20;37;124;11;96.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;3.4
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;2;1.0;1.0;1.0;55.0;94.0;20.0;1;0;2;15;0;0;14;14;7;93.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;1.5
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;55.0;;20.0;2;15;3;1125;0;12;20;290;57;92.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;3.89
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;80.0;100.0;30.0;4;30;2;1125;9;28;47;163;15;99.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;2.14
Puerta Bonita;Carabanchel;Apartment;Entire home/apt;4;1.0;1.0;2.0;42.0;;;2;10;10;1125;20;20;20;20;2;90.0;10.0;10.0;10.0;7.0;6.0;8.0;flexible;0.41
Buttes-Chaumont;;Apartment;Entire home/apt;4;1.0;1.0;1.0;55.0;;25.0;1;10;4;1125;0;11;11;200;7;89.0;10.0;9.0;9.0;9.0;9.0;9.0;strict;0.32
Palacio;Centro;House;Entire home/apt;4;2.0;2.0;2.0;90.0;;35.0;1;0;1;1125;3;6;35;35;42;91.0;10.0;10.0;10.0;9.0;10.0;9.0;strict;5.29
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.5;1.0;2.0;79.0;100.0;25.0;2;12;3;1125;4;5;17;179;101;92.0;10.0;9.0;9.0;9.0;10.0;9.0;strict;2.8
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;50.0;;20.0;2;8;3;1125;12;28;58;333;57;95.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;2.3
Castellana;Salamanca;Apartment;Private room;2;1.0;1.0;1.0;25.0;;;1;0;1;1125;0;6;20;21;4;70.0;6.0;9.0;9.0;9.0;8.0;8.0;strict;1.1
Delicias;Arganzuela;Apartment;Private room;2;1.0;1.0;2.0;40.0;;;1;0;1;1125;30;60;90;365;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.15
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;70.0;;;2;10;3;30;3;9;12;137;160;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.4
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;90.0;100.0;30.0;2;10;3;1125;13;30;50;325;63;91.0;10.0;9.0;10.0;10.0;10.0;9.0;moderate;1.79
Cuatro Caminos;Tetuán;Bed & Breakfast;Private room;2;1.0;1.0;1.0;40.0;;;1;10;1;1125;17;47;77;352;27;92.0;10.0;10.0;10.0;10.0;9.0;9.0;flexible;0.5
Palos de Moguer;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;25.0;;;1;0;2;1125;23;53;83;358;18;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.19
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;35.0;;10.0;1;0;3;100;3;3;18;18;14;87.0;9.0;9.0;9.0;10.0;10.0;9.0;moderate;0.55
Embajadores;Centro;Guesthouse;Private room;2;1.0;1.0;1.0;43.0;;;2;0;1;1125;24;54;81;354;3;67.0;5.0;8.0;7.0;5.0;9.0;6.0;flexible;0.44
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;2;1.0;1.0;1.0;45.0;500.0;15.0;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;
Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;55.0;;50.0;2;10;1;1125;0;0;0;71;9;87.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;0.84
Southwark;;Apartment;Entire home/apt;2;1.0;1.0;1.0;81.0;;51.0;1;0;2;1125;17;47;77;168;7;97.0;10.0;9.0;10.0;9.0;9.0;10.0;moderate;2.26
Sol;Centro;Condominium;Entire home/apt;4;1.0;1.0;2.0;90.0;200.0;30.0;2;15;1;60;11;38;68;190;58;95.0;10.0;10.0;9.0;10.0;10.0;10.0;strict;6.3
Universidad;Centro;House;Entire home/apt;6;2.0;2.0;3.0;75.0;120.0;;2;12;4;1125;5;21;30;107;11;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.3
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;49.0;150.0;30.0;3;0;2;1125;7;19;36;36;84;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;4.77
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;48.0;;20.0;1;0;2;1125;0;0;0;260;0;;;;;;;;moderate;
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;4.0;85.0;100.0;25.0;2;30;2;1125;0;4;7;74;7;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.56
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;160.0;700.0;22.0;1;0;2;1125;27;57;87;362;0;;;;;;;;flexible;
la Nova Esquerra de l'Eixample;Eixample;Apartment;Entire home/apt;6;1.0;2.0;3.0;106.0;;;1;0;2;1125;0;2;2;4;0;;;;;;;;strict;
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;62.0;;;1;0;2;1125;0;0;0;0;0;;;;;;;;flexible;
Wallingford;Other neighborhoods;Apartment;Private room;2;1.0;1.0;2.0;60.0;;;2;20;1;4;29;56;56;57;1;80.0;10.0;8.0;10.0;10.0;10.0;10.0;flexible;1.0
Palma de Mallorca;;Apartment;Entire home/apt;4;1.5;2.0;3.0;120.0;350.0;80.0;1;0;3;1125;11;28;47;237;13;97.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;0.69
San Pascual;Ciudad Lineal;Apartment;Entire home/apt;4;2.0;2.0;2.0;78.0;200.0;25.0;4;0;5;1125;0;9;11;281;34;94.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;0.93
Puerta del Angel;Latina;Apartment;Entire home/apt;6;2.0;3.0;4.0;60.0;;45.0;2;15;10;70;0;0;5;62;0;;;;;;;;flexible;
Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;2;1.0;1.0;1.0;20.0;;;1;0;1;1125;0;0;0;0;2;100.0;10.0;10.0;10.0;10.0;8.0;10.0;flexible;0.18
Sol;Centro;Apartment;Private room;2;1.0;1.0;2.0;58.0;;15.0;1;0;2;30;0;0;0;0;0;;;;;;;;strict;
Hackney;;House;Private room;2;1.0;1.0;1.0;60.0;;32.0;1;10;1;1125;21;49;79;169;2;100.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;2.0
Legazpi;Arganzuela;House;Private room;1;2.0;1.0;1.0;28.0;;;1;0;1;1125;30;60;90;181;0;;;;;;;;flexible;
Embajadores;Centro;Apartment;Entire home/apt;6;1.0;2.0;4.0;70.0;150.0;35.0;2;10;2;1125;5;16;23;77;118;95.0;10.0;10.0;10.0;10.0;9.0;9.0;moderate;3.44
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;2.0;60.0;;;1;0;1;15;6;6;30;30;5;88.0;9.0;8.0;10.0;10.0;9.0;9.0;flexible;0.82
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;35.0;90.0;18.0;1;0;2;14;2;14;32;298;39;88.0;10.0;10.0;9.0;10.0;9.0;9.0;moderate;4.81
Arapiles;Chamberí;Apartment;Private room;1;2.0;1.0;1.0;32.0;200.0;30.0;1;0;7;1125;7;37;67;342;0;;;;;;;;strict;
Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;109.0;150.0;25.0;1;0;2;30;10;20;34;305;163;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.69
Almenara;Tetuán;Apartment;Entire home/apt;4;1.0;2.0;3.0;50.0;250.0;30.0;1;0;4;1125;0;0;0;0;0;;;;;;;;flexible;
Berruguete;Tetuán;Apartment;Private room;1;1.0;1.0;1.0;30.0;;;1;0;1;1125;0;6;36;311;2;100.0;10.0;9.0;10.0;10.0;8.0;10.0;strict;0.32
Lista;Salamanca;Apartment;Entire home/apt;6;1.5;3.0;3.0;80.0;150.0;30.0;1;0;4;1125;17;42;62;68;16;88.0;9.0;8.0;10.0;10.0;10.0;9.0;moderate;2.09
Nueva España;Chamartín;House;Entire home/apt;8;3.5;4.0;7.0;150.0;;50.0;1;0;6;60;9;21;41;316;3;100.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;0.59
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;50.0;200.0;20.0;1;0;3;30;0;0;6;6;12;90.0;9.0;9.0;10.0;10.0;10.0;9.0;flexible;0.65
Prosperidad;Chamartín;House;Private room;2;1.0;1.0;1.0;35.0;;10.0;1;25;2;30;18;45;72;334;18;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.72
Niño Jesús;Retiro;Apartment;Entire home/apt;5;2.0;2.0;5.0;105.0;;;2;10;3;1125;14;32;52;289;3;93.0;9.0;9.0;9.0;10.0;9.0;8.0;strict;0.08
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;60.0;;30.0;2;15;1;1125;7;12;32;32;10;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.88
Embajadores;Centro;Apartment;Private room;2;3.0;1.0;1.0;20.0;;;1;0;10;1125;0;0;5;280;0;;;;;;;;strict;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;50.0;;;1;0;2;1125;3;9;20;262;15;99.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;4.05
Entrevías;Puente de Vallecas;Apartment;Private room;5;1.0;1.0;4.0;25.0;300.0;;2;10;1;1125;3;3;22;127;3;80.0;7.0;9.0;10.0;8.0;8.0;7.0;strict;0.33
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;1.0;44.0;;15.0;1;0;4;1125;2;15;32;121;36;97.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;3.58
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;55.0;200.0;;2;20;2;1125;8;22;40;206;1;80.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.09
Bruxelles;;Townhouse;Private room;1;1.0;1.0;1.0;50.0;200.0;;1;0;10;1125;0;0;0;0;0;;;;;;;;flexible;
Comillas;Carabanchel;Apartment;Entire home/apt;8;2.0;3.0;5.0;91.0;;29.0;1;19;3;1125;9;18;38;305;23;96.0;10.0;10.0;10.0;10.0;9.0;9.0;strict;3.19
